,objects
c0a105b4fe3a7c55_jpg.rf.27de9e6de9a5c926a6edeb77f8df3d3d.jpg,['Bus']
b52533fcc735c023_jpg.rf.018f6086f128fde635eabdf05d1a8fb4.jpg,['Ambulance']
a7674f15d9b1f35f_jpg.rf.d4e86f09cd026441ac5ea90d28ee9f33.jpg,['Ambulance']
479012386aa308fb_jpg.rf.6af894f62ffc7f7d84d4c0513a493796.jpg,['Bus']
b3736bcf6bec5308_jpg.rf.ef056de5fe22574db65b3be6f53a29e0.jpg,['Bus']
f00ec0093e986e99_jpg.rf.87edbc312ec9e4d1f169fb0a9fe71204.jpg,"['Car', 'Car', 'Car']"
c094d0187caf81e3_jpg.rf.c0c1300f202c7ee646bb83b9bceb9ab9.jpg,"['Car', 'Ambulance']"
b7cc71d4f2108d9c_jpg.rf.4ee9aff72643e842bcc93d85ed1d5553.jpg,"['Motorcycle', 'Ambulance']"
567af04eef831f07_jpg.rf.193c071da36e50ca598ef95370f7ec19.jpg,['Truck']
cf165ec304d2b2dc_jpg.rf.f0eb6dd881b5bbeff019c13b261d7b04.jpg,['Car']
08c8b73e0c2e296e_jpg.rf.5b2b6f3bf732b7c500005e12461ce586.jpg,"['Bus', 'Bus']"
e36e433eed49a09d_jpg.rf.c96382bc021b7e629de5489ae2968bea.jpg,['Bus']
958efc095c686ef6_jpg.rf.8f44ec40dc12300d3d080fbe082ac0dc.jpg,['Car']
31d30eccf56cac5f_jpg.rf.0d6b22e49f8dc206c01b3b606a4e2a46.jpg,"['Motorcycle', 'Motorcycle', 'Motorcycle', 'Motorcycle', 'Motorcycle']"
6f6e6ee0f2f3e68a_jpg.rf.1b21c8dadfc4439d39138e81f015e929.jpg,"['Car', 'Car']"
778f80f86cd35fca_jpg.rf.b9c184af0092050b50934cee6aba9273.jpg,"['Car', 'Car', 'Car']"
c6942c8aa585dfeb_jpg.rf.bf47b0ea63ec2e4f841a8b0160a62774.jpg,"['Motorcycle', 'Car', 'Car']"
47b09b34e24b4039_jpg.rf.d43b850e12cb98a9a99e2cb7ce04e557.jpg,"['Bus', 'Bus']"
a3cffcdbff959432_jpg.rf.a34e1dc1e293e7df969d174a06372233.jpg,['Truck']
6a16101bb9217422_jpg.rf.fc8d7322f933803136b93a45a4eb1f98.jpg,['Bus']
e4029e591e9568b4_jpg.rf.b18f6d1f1e867f1441eb13e33f384e81.jpg,['Car']
9fdf0bf1160fca8e_jpg.rf.794063e95642a3b44eb23c5e326394b8.jpg,['Motorcycle']
9876c285fe7bc3a0_jpg.rf.0ac5c44fd7a73a63a639bf6cd16a1623.jpg,['Ambulance']
3281f85bb3265523_jpg.rf.1a25aeb0b45e5d5cef17601366aadc27.jpg,"['Car', 'Car']"
7b1c58ed404a2ca1_jpg.rf.eea8c78212d60904266be0f8b7bafe74.jpg,"['Car', 'Car']"
fcbbda4f0678bfcf_jpg.rf.11aa038e0b959d3755059542d42b72df.jpg,"['Car', 'Car', 'Car', 'Car', 'Car']"
6bc019fc59fce6bc_jpg.rf.bb706caf1710cbe40a758172a8c029c3.jpg,"['Car', 'Car']"
00dea1edf14f09ab_jpg.rf.5015774ac0e457a71a7487abaf231868.jpg,['Ambulance']
8ccad0d567bc7aad_jpg.rf.ec9a071fa70db69e52d323e397645e07.jpg,"['Car', 'Car', 'Car']"
6dce4caa5b30c32a_jpg.rf.77c00589239475e2e94cea84f39bbdb2.jpg,['Car']
d66aabbb1f7299cc_jpg.rf.76a4cf8cb203b09e3bcfe0d278aa56c1.jpg,"['Car', 'Car']"
61b330a7098fba8b_jpg.rf.2782e716a879ca0b61782006c3eada9e.jpg,"['Car', 'Car']"
2c21c734126f9f69_jpg.rf.74061e39affea27163ab81d72bc5928b.jpg,"['Car', 'Ambulance']"
6d5d24e86c1ff260_jpg.rf.e60659020214766f3df160fda209822c.jpg,['Truck']
82a06e5f21d877a5_jpg.rf.20b4884be76360c787afb1fee6f0c3d0.jpg,['Bus']
4ecafc9a0bae8003_jpg.rf.1584f580585bd8631d866efe78b755af.jpg,"['Car', 'Truck']"
86f2efc6efadba44_jpg.rf.e90812d64615d012a1eb3b9ef35efd4e.jpg,['Car']
6e85d4ef31b5eed3_jpg.rf.a76b6825a9ef0edb2b78f739e13bce80.jpg,['Car']
9d2d424099458956_jpg.rf.b85a694339af046180068df261a5dace.jpg,['Ambulance']
861be2a154763b07_jpg.rf.d5d9cae06ffd03a7b7d3a4c8f96e8f30.jpg,['Ambulance']
00e481ea1a520175_jpg.rf.df95e719f040ca9163da366f9e6747c1.jpg,"['Bus', 'Bus', 'Bus']"
7baf801decfab71a_jpg.rf.fba543f70548a6b8576d1e6de89733fe.jpg,['Car']
3429c6851095a4c3_jpg.rf.7eff2ce72a14cd4492752d4827951b54.jpg,"['Car', 'Car', 'Car']"
beb59084f52dcb04_jpg.rf.3a0f391cd997a412201adbfc5ca69e10.jpg,['Car']
b778de31063c80ef_jpg.rf.decb6184d8fc330dbb2510791fad433e.jpg,['Ambulance']
be3f71308b3598e9_jpg.rf.f0baa6efc8b8dc09fb16d6a20ec795cb.jpg,['Ambulance']
259ff749ac781352_jpg.rf.c636e7458e678c0d5e78b4f54c837dd5.jpg,"['Bus', 'Car', 'Car']"
c1f88290d602f0e6_jpg.rf.8a96ade4a8b76fc5562f10befedd4968.jpg,['Car']
fca5c9c8f0276eff_jpg.rf.1b0532d739cbd9e3d0e75f30082e2710.jpg,['Truck']
64918de984156adf_jpg.rf.898e731060fb3daa65a85d907e43d7da.jpg,['Car']
10c26c6598677a1f_jpg.rf.75b569a22ebcfa70284a2082bd097504.jpg,['Motorcycle']
fb70621f1a194c73_jpg.rf.59df7aca7a6e21efeb6f106103a2be7a.jpg,['Motorcycle']
58163cb625c30451_jpg.rf.e3c650b194d2b7c947bad8cf47c34701.jpg,"['Bus', 'Car', 'Car', 'Car']"
2eaf88e3156629c6_jpg.rf.4589a21f44d98ff03375637c58df13e4.jpg,"['Truck', 'Truck']"
b3b144afc677916a_jpg.rf.f4c692a5cf207544ba804fce7e5c592d.jpg,"['Car', 'Car']"
1ef77c61856d3b4b_jpg.rf.a1080a06b9303faf57fd4e28743a2ef7.jpg,['Motorcycle']
59b1c028bd8b08dc_jpg.rf.e09c4fb4fe8d8d1dc487c6a0ef9f4d9f.jpg,['Bus']
